CL,Input Transtions,tpdf,tpdr
1,0.1,2.17681000e-11,2.37598100e-11
1,0.25,2.85974200e-11,3.35115300e-11
1,0.5,3.31483300e-11,4.33482000e-11
1,0.75,3.47525900e-11,5.05958900e-11
1,1,3.51234100e-11,5.65669600e-11
1,1.25,3.46449700e-11,6.18253900e-11
1,1.5,3.36672800e-11,6.65979400e-11
3,0.1,3.13122100e-11,3.39480100e-11
3,0.25,4.38391300e-11,5.02665300e-11
3,0.5,5.45527600e-11,6.63036600e-11
3,0.75,6.06520500e-11,7.77605700e-11
3,1,6.46045700e-11,8.71231600e-11
3,1.25,6.72058500e-11,9.51939900e-11
3,1.5,6.88122400e-11,1.02413400e-10
5,0.1,3.84250700e-11,4.13068900e-11
5,0.25,5.55351000e-11,6.25420200e-11
5,0.5,7.09826900e-11,8.39280700e-11
5,0.75,8.05595800e-11,9.89966400e-11
5,1,8.73101500e-11,1.11131800e-10
5,1.25,9.23256100e-11,1.21585400e-10
5,1.5,9.61373900e-11,1.30833600e-10
7,0.1,4.45633600e-11,4.74802500e-11
7,0.25,6.52465100e-11,7.26831800e-11
7,0.5,8.48185400e-11,9.86443100e-11
7,0.75,9.74398300e-11,1.16963400e-10
7,1,1.06580900e-10,1.31649700e-10
7,1.25,1.13689600e-10,1.44187200e-10
7,1.5,1.19357500e-10,1.55306500e-10
9,0.1,4.98484100e-11,5.27002900e-11
9,0.25,7.37134900e-11,8.14711100e-11
9,0.5,9.69469400e-11,1.11499500e-10
9,0.75,1.12235200e-10,1.32808200e-10
9,1,1.23658700e-10,1.49832700e-10
9,1.25,1.32610000e-10,1.64322000e-10
9,1.5,1.39945200e-10,1.77109300e-10
11,0.1,5.46363800e-11,5.77333600e-11
11,0.25,8.13494500e-11,8.92825600e-11
11,0.5,1.07896700e-10,1.23012000e-10
11,0.75,1.25685600e-10,1.47069600e-10
11,1,1.39070700e-10,1.66323300e-10
11,1.25,1.49796900e-10,1.82636800e-10
11,1.5,1.58637900e-10,1.97004200e-10
13,0.1,5.94125600e-11,6.27784300e-11
13,0.25,8.83956100e-11,9.63258700e-11
13,0.5,1.17930400e-10,1.33476800e-10
13,0.75,1.38056800e-10,1.60145700e-10
13,1,1.53329600e-10,1.81434600e-10
13,1.25,1.65626800e-10,1.99532900e-10
13,1.5,1.75901100e-10,2.15407100e-10
15,0.1,6.41383100e-11,6.78298300e-11
15,0.25,9.47929100e-11,1.02884700e-10
15,0.5,1.27237200e-10,1.43111900e-10
15,0.75,1.49496700e-10,1.72178800e-10
15,1,1.66535900e-10,1.95501900e-10
15,1.25,1.80386300e-10,2.15224000e-10
15,1.5,1.92028400e-10,2.32557400e-10
