CL,Input Transtions,tpdf,tpdr
1,0.1,4.42544600e-11,2.23044100e-11
1,0.25,6.30725700e-11,2.90601700e-11
1,0.5,8.17163300e-11,3.24293800e-11
1,0.75,9.32657900e-11,3.28103100e-11
1,1,1.01173700e-10,3.18415900e-11
1,1.25,1.06863000e-10,3.01510000e-11
1,1.5,1.11098100e-10,2.79122200e-11
3,0.1,4.73729800e-11,2.73289700e-11
3,0.25,6.92305300e-11,3.67078100e-11
3,0.5,9.11761500e-11,4.34959800e-11
3,0.75,1.05455100e-10,4.62470100e-11
3,1,1.15788900e-10,4.72403200e-11
3,1.25,1.23781200e-10,4.71461700e-11
3,1.5,1.30282200e-10,4.63592100e-11
5,0.1,5.01978400e-11,3.08347100e-11
5,0.25,7.46024600e-11,4.30838800e-11
5,0.5,9.95681900e-11,5.26524900e-11
5,0.75,1.16249800e-10,5.74661000e-11
5,1,1.28639000e-10,6.00674700e-11
5,1.25,1.38607200e-10,6.13971600e-11
5,1.5,1.46830100e-10,6.18017700e-11
7,0.1,5.30139200e-11,3.41895900e-11
7,0.25,7.97502900e-11,4.86026400e-11
7,0.5,1.07196700e-10,6.06358000e-11
7,0.75,1.25995900e-10,6.72747200e-11
7,1,1.40258800e-10,7.13398500e-11
7,1.25,1.51829300e-10,7.38858700e-11
7,1.5,1.61660100e-10,7.54271900e-11
9,0.1,5.57376300e-11,3.72486800e-11
9,0.25,8.42508600e-11,5.34691800e-11
9,0.5,1.14261700e-10,6.78262300e-11
9,0.75,1.34935300e-10,7.60920900e-11
9,1,1.50907200e-10,8.15031900e-11
9,1.25,1.63971300e-10,8.51813200e-11
9,1.5,1.75146300e-10,8.77018900e-11
11,0.1,5.85108600e-11,3.97821700e-11
11,0.25,8.86384500e-11,5.79337400e-11
11,0.5,1.20750400e-10,7.44115300e-11
11,0.75,1.43238800e-10,8.41793000e-11
11,1,1.60772800e-10,9.08258200e-11
11,1.25,1.75232500e-10,9.55636200e-11
11,1.5,1.87630900e-10,9.90077600e-11
13,0.1,6.11106600e-11,4.21742600e-11
13,0.25,9.25705600e-11,6.20515600e-11
13,0.5,1.26821200e-10,8.04021300e-11
13,0.75,1.51034000e-10,9.17015800e-11
13,1,1.69999700e-10,9.94922200e-11
13,1.25,1.85765200e-10,1.05224400e-10
13,1.5,1.99323900e-10,1.09541200e-10
15,0.1,6.36337300e-11,4.45136300e-11
15,0.25,9.64103100e-11,6.58184500e-11
15,0.5,1.32644000e-10,8.60897700e-11
15,0.75,1.58415800e-10,9.87197400e-11
15,1,1.78696300e-10,1.07625500e-10
15,1.25,1.95683700e-10,1.14293300e-10
15,1.5,2.10344300e-10,1.19439100e-10
