CL,Input Transtions,tpdf,tpdr
1,0.1,2.06775900e-11,4.29414700e-11
1,0.25,2.52393000e-11,6.40689800e-11
1,0.5,2.47007600e-11,8.62410100e-11
1,0.75,2.02371800e-11,1.03213000e-10
1,1,1.38533200e-11,1.18556300e-10
1,1.25,6.21859600e-12,1.33232500e-10
1,1.5,-2.20589200e-12,1.47544200e-10
3,0.1,2.68673600e-11,5.00770300e-11
3,0.25,3.50853900e-11,7.69420000e-11
3,0.5,3.89196000e-11,1.06079600e-10
3,0.75,3.81017200e-11,1.27984900e-10
3,1,3.46463600e-11,1.47039500e-10
3,1.25,2.96995800e-11,1.64662800e-10
3,1.5,2.37225700e-11,1.81466400e-10
5,0.1,3.17883700e-11,5.54652300e-11
5,0.25,4.28973400e-11,8.70576000e-11
5,0.5,5.03027900e-11,1.21622400e-10
5,0.75,5.21561500e-11,1.47691700e-10
5,1,5.11586500e-11,1.69912500e-10
5,1.25,4.83357400e-11,1.90144900e-10
5,1.5,4.42175900e-11,2.09043300e-10
7,0.1,3.58574400e-11,6.06876500e-11
7,0.25,4.96620500e-11,9.55861400e-11
7,0.5,5.99857000e-11,1.34833600e-10
7,0.75,6.42166600e-11,1.64406000e-10
7,1,6.52259400e-11,1.89490900e-10
7,1.25,6.41543500e-11,2.12015300e-10
7,1.5,6.17014400e-11,2.32914900e-10
9,0.1,3.93984400e-11,6.56019600e-11
9,0.25,5.55534300e-11,1.03108500e-10
9,0.5,6.85627200e-11,1.46311700e-10
9,0.75,7.48911800e-11,1.79140100e-10
9,1,7.76638300e-11,2.06803200e-10
9,1.25,7.82395700e-11,2.31472900e-10
9,1.5,7.71425200e-11,2.54216200e-10
11,0.1,4.28438400e-11,7.06764200e-11
11,0.25,6.08940800e-11,1.09866600e-10
11,0.5,7.63489500e-11,1.56625500e-10
11,0.75,8.45438700e-11,1.92323100e-10
11,1,8.89458300e-11,2.22391300e-10
11,1.25,9.09143600e-11,2.49097700e-10
11,1.5,9.11752000e-11,2.73561400e-10
13,0.1,4.57192600e-11,7.55216900e-11
13,0.25,6.58324600e-11,1.15991600e-10
13,0.5,8.35503500e-11,1.66048500e-10
13,0.75,9.34134600e-11,2.04362600e-10
13,1,9.93192100e-11,2.36678900e-10
13,1.25,1.02599800e-10,2.65249100e-10
13,1.5,1.04068900e-10,2.91370500e-10
15,0.1,4.84899500e-11,8.05583400e-11
15,0.25,7.03834100e-11,1.21741300e-10
15,0.5,9.01426700e-11,1.74756600e-10
15,0.75,1.01669500e-10,2.15497900e-10
15,1,1.08961800e-10,2.49871600e-10
15,1.25,1.13475600e-10,2.80288400e-10
15,1.5,1.16040800e-10,3.07948400e-10
